	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
310	11	163.com	News and Media	=	00:03:55	4.78	0.4243	
311	12	toutiao.com	News and Media	5	00:15:21	8.72	0.2444	
312	13	bbc.co.uk	News and Media	=	00:04:04	3.7	0.4889	
313	14	news.google.com	News and Media	=	00:38:27	5.28	0.3926	
314	15	ifeng.com	News and Media	-3	00:04:16	5.1	0.4235	
315	16	espn.com	News and Media	5	00:09:22	5.05	0.39380000000000004	Sports News
316	17	sina.com.cn	News and Media	-2	00:02:08	2.46	0.6061	
317	18	cnn.com	News and Media	-2	00:03:36	2.26	0.5401	
318	19	wp.pl	News and Media	=	00:07:27	7.75	0.2418	
320	21	onet.pl	News and Media	-1	00:06:10	5.92	0.3607	
321	22	bbc.com	News and Media	1	00:02:41	2.47	0.6115999999999999	
322	23	zybang.com	News and Media	12	00:02:33	1.71	0.6506000000000001	
323	24	news.yahoo.com	News and Media	-2	00:04:42	13.42	0.39759999999999995	
325	26	news.yahoo.co.jp	News and Media	1	00:03:47	2.48	0.49560000000000004	
327	28	naver.jp	News and Media	-4	00:04:12	3.87	0.4044	Magazines and E Zines
328	29	foxnews.com	News and Media	4	00:07:18	3.12	0.5088	
329	30	livedoor.jp	News and Media	=	00:06:12	3.7	0.44520000000000004	
331	32	bp.blogspot.com	News and Media	-6	00:02:08	1.83	0.7164	
332	33	buzzfeed.com	News and Media	-5	00:03:40	5.22	0.37810000000000005	Magazines and E Zines
333	34	hurriyet.com.tr	News and Media	-2	00:10:02	7.59	0.4127	
336	37	weather.com	News and Media	3	00:01:53	2.32	0.4738	Weather
338	39	drudgereport.com	News and Media	3	00:21:31	9.43	0.5128	
339	40	sports.yahoo.com	News and Media	18	00:04:17	11.37	0.3937	Sports News
341	42	pantip.com	News and Media	-3	00:05:09	3.27	0.5007	
343	44	news.naver.com	News and Media	2	00:06:00	3.64	0.3892	
